City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ust-Omchug,RU,2022-07-10 21:17:06,61.15,149.6333,69.64,52,26,6.29
1,Ushuaia,AR,2022-07-10 21:17:07,-54.8,-68.3,33.46,69,40,3.44
2,Hilo,US,2022-07-10 21:13:55,19.7297,-155.09,84.27,89,100,4.0
3,Kapaa,US,2022-07-10 21:17:07,22.0752,-159.319,84.52,72,20,17.27
4,Saint-Philippe,RE,2022-07-10 21:17:08,-21.3585,55.7679,63.21,76,37,13.6
5,Albany,US,2022-07-10 21:14:39,42.6001,-73.9662,81.68,35,84,3.22
6,Atar,MR,2022-07-10 21:17:08,20.5169,-13.0499,101.44,11,0,8.95
7,Yulara,AU,2022-07-10 21:17:08,-25.2406,130.9889,43.2,48,0,6.22
8,College,US,2022-07-10 21:17:09,64.8569,-147.8028,68.58,84,75,0.0
9,Kozhevnikovo,RU,2022-07-10 21:17:09,56.2589,83.9714,64.26,89,32,5.77
10,Puerto Baquerizo Moreno,EC,2022-07-10 21:17:09,-0.9,-89.6,71.46,81,84,13.76
11,Huangpi,CN,2022-07-10 21:17:10,30.8845,114.3779,89.71,62,0,8.95
12,Banjar,ID,2022-07-10 21:17:10,-8.19,114.9675,76.26,89,98,3.98
13,Lebu,CL,2022-07-10 21:16:59,-37.6167,-73.65,49.66,81,4,6.96
14,Rawson,AR,2022-07-10 21:17:11,-43.3002,-65.1023,39.7,95,100,30.38
15,Culleredo,ES,2022-07-10 21:17:11,43.2879,-8.3886,75.02,88,75,4.61
16,Punta Arenas,CL,2022-07-10 21:13:23,-53.15,-70.9167,35.11,80,20,3.44
17,Najran,SA,2022-07-10 21:15:06,17.4924,44.1277,81.16,28,100,7.05
18,Iqaluit,CA,2022-07-10 21:17:12,63.7506,-68.5145,53.33,66,20,3.44
19,Port Elizabeth,ZA,2022-07-10 21:13:49,-33.918,25.5701,55.69,88,0,11.5
20,Vaini,TO,2022-07-10 21:17:12,-21.2,-175.2,75.36,88,75,9.22
21,Grand-Lahou,CI,2022-07-10 21:17:13,5.1367,-5.0242,75.6,79,84,7.36
22,Jamestown,US,2022-07-10 21:17:13,42.097,-79.2353,82.06,29,0,5.75
23,Leningradskiy,RU,2022-07-10 21:17:14,69.3833,178.4167,37.89,86,100,12.59
24,Longyearbyen,SJ,2022-07-10 21:17:14,78.2186,15.6401,44.44,87,75,6.91
25,Sal Rei,CV,2022-07-10 21:13:37,16.1833,-22.9167,73.85,82,18,10.11
26,Qaanaaq,GL,2022-07-10 21:17:14,77.484,-69.3632,43.77,73,100,5.5
27,Rikitea,PF,2022-07-10 21:17:15,-23.1203,-134.9692,72.77,78,17,4.21
28,Isangel,VU,2022-07-10 21:17:15,-19.55,169.2667,80.71,83,40,4.61
29,Ostrovnoy,RU,2022-07-10 21:17:15,68.0531,39.5131,53.8,78,25,13.33
30,Thinadhoo,MV,2022-07-10 21:17:16,0.5333,72.9333,82.6,75,100,7.49
31,Yellowknife,CA,2022-07-10 21:17:16,62.456,-114.3525,68.56,77,75,11.5
32,Tiznit,MA,2022-07-10 21:17:16,29.5833,-9.5,91.44,10,26,2.55
33,Port Alfred,ZA,2022-07-10 21:17:17,-33.5906,26.891,59.2,77,82,18.5
34,Thompson,CA,2022-07-10 21:15:23,55.7435,-97.8558,82.56,34,40,6.91
35,Bluff,NZ,2022-07-10 21:17:17,-46.6,168.3333,32.81,80,68,15.52
36,Kungurtug,RU,2022-07-10 21:17:18,50.5994,97.5228,45.03,92,85,1.45
37,Victoria,HK,2022-07-10 21:17:18,22.2855,114.1577,85.32,86,90,5.01
38,Busselton,AU,2022-07-10 21:17:18,-33.65,115.3333,54.97,63,99,1.81
39,Pingliang,CN,2022-07-10 21:17:19,35.5392,106.6861,71.06,87,100,4.72
40,Bambari,CF,2022-07-10 21:17:19,5.768,20.6757,72.01,91,100,2.44
41,Hovd,MN,2022-07-10 21:17:19,48.0056,91.6419,57.54,53,7,4.61
42,Makakilo City,US,2022-07-10 21:17:20,21.3469,-158.0858,84.52,52,40,19.57
43,Codrington,AU,2022-07-10 21:17:20,-38.2667,141.9667,49.17,63,100,19.26
44,Esil,KZ,2022-07-10 21:17:21,51.9556,66.4042,66.09,78,78,11.61
45,Lata,PT,2022-07-10 21:17:21,40.1629,-8.3327,63.81,72,1,3.42
46,Fairbanks,US,2022-07-10 21:17:21,64.8378,-147.7164,68.59,85,40,0.0
47,Hobart,AU,2022-07-10 21:15:32,-42.8794,147.3294,50.25,77,75,12.66
48,Clonakilty,IE,2022-07-10 21:17:22,51.6231,-8.8706,61.09,89,0,5.1
49,Bowen,AU,2022-07-10 21:17:22,-20.0167,148.2333,52.02,64,0,7.74
50,Komsomolets,KZ,2022-07-10 21:17:23,53.7453,62.0708,66.76,71,100,6.8
51,Redlands,US,2022-07-10 21:17:23,34.0556,-117.1825,105.31,18,0,6.91
52,Atuona,PF,2022-07-10 21:17:23,-9.8,-139.0333,77.2,79,54,18.59
53,Constitucion,CL,2022-07-10 21:17:24,-35.3333,-72.4167,51.78,75,26,0.54
54,Birin,NP,2022-07-10 21:17:24,26.8865,88.0718,64.09,86,20,3.98
55,Gondanglegi,ID,2022-07-10 21:17:24,-7.7479,112.0132,73.27,92,34,7.65
56,Khatanga,RU,2022-07-10 21:17:25,71.9667,102.5,45.66,64,80,12.88
57,Jimeta,NG,2022-07-10 21:17:25,9.2833,12.4667,77.2,77,65,3.98
58,Hithadhoo,MV,2022-07-10 21:17:25,-0.6,73.0833,82.36,71,100,4.03
59,Ponta Do Sol,PT,2022-07-10 21:17:26,32.6667,-17.1,72.23,72,4,5.12
60,Kunming,CN,2022-07-10 21:17:26,25.0389,102.7183,62.53,94,40,6.71
61,Hasaki,JP,2022-07-10 21:17:26,35.7333,140.8333,75.6,90,0,2.08
62,Tasiilaq,GL,2022-07-10 21:17:27,65.6145,-37.6368,48.36,78,42,2.15
63,Kruisfontein,ZA,2022-07-10 21:17:23,-34.0033,24.7314,50.88,89,61,9.78
64,Yuncheng,CN,2022-07-10 21:17:27,35.0231,110.9928,74.64,79,100,6.82
65,Sao Borja,BR,2022-07-10 21:17:28,-28.6606,-56.0044,73.94,71,100,10.33
66,Dunedin,NZ,2022-07-10 21:15:23,-45.8742,170.5036,43.81,73,69,1.99
67,Mataura,NZ,2022-07-10 21:17:28,-46.1927,168.8643,32.49,91,58,3.85
68,Castro,BR,2022-07-10 21:17:28,-24.7911,-50.0119,59.63,74,6,3.47
69,Portland,US,2022-07-10 21:14:21,45.5234,-122.6762,81.21,49,75,8.05
70,Xichang,CN,2022-07-10 21:17:29,27.8964,102.2634,65.97,92,93,2.48
71,Husavik,IS,2022-07-10 21:17:29,66.0449,-17.3389,54.01,91,100,2.44
72,Puerto Ayora,EC,2022-07-10 21:17:30,-0.7393,-90.3518,80.56,90,55,8.01
73,Maniitsoq,GL,2022-07-10 21:17:30,65.4167,-52.9,41.5,87,95,15.5
74,Platteville,US,2022-07-10 21:17:00,42.7342,-90.4785,81.52,69,0,10.36
75,Arraial Do Cabo,BR,2022-07-10 21:17:31,-22.9661,-42.0278,73.26,73,0,17.27
76,Kodiak,US,2022-07-10 21:17:31,57.79,-152.4072,60.31,63,100,14.97
77,Lodwar,KE,2022-07-10 21:17:31,3.1191,35.5973,85.12,35,89,11.97
78,Clyde River,CA,2022-07-10 21:17:32,70.4692,-68.5914,48.43,71,100,4.61
79,Lompoc,US,2022-07-10 21:17:32,34.6391,-120.4579,86.14,77,40,15.01
80,Cabo San Lucas,MX,2022-07-10 21:13:34,22.8909,-109.9124,98.62,31,20,16.11
81,Anadyr,RU,2022-07-10 21:17:32,64.75,177.4833,50.5,93,75,13.42
82,Anito,PH,2022-07-10 21:17:33,12.4497,125.2886,77.49,92,100,5.21
83,Keti Bandar,PK,2022-07-10 21:17:33,24.1447,67.4497,82.83,85,100,17.67
84,Kvareli,GE,2022-07-10 21:17:33,41.9524,45.8151,74.21,41,17,6.4
85,Saravan,AM,2022-07-10 21:17:34,39.7196,45.6483,63.57,48,54,8.16
86,Faya,SA,2022-07-10 21:17:34,18.3851,42.4509,68.11,45,84,0.63
87,San Cristobal,VE,2022-07-10 21:17:34,7.7669,-72.225,82.58,56,85,6.22
88,Bredasdorp,ZA,2022-07-10 21:17:35,-34.5322,20.0403,49.5,85,57,6.58
89,Lasa,IT,2022-07-10 21:17:35,46.6166,10.7002,65.28,81,6,6.26
90,Aluksne,LV,2022-07-10 21:17:35,57.4167,27.05,56.32,78,100,2.8
91,Kuminskiy,RU,2022-07-10 21:17:36,58.6667,66.5667,66.09,75,59,4.23
92,Bilibino,RU,2022-07-10 21:17:36,68.0546,166.4372,46.4,69,50,2.93
93,Muros,ES,2022-07-10 21:17:36,42.7762,-9.0603,64.09,85,27,3.98
94,Likasi,CD,2022-07-10 21:17:37,-10.9814,26.7333,58.05,55,5,2.48
95,Salamanca,ES,2022-07-10 21:14:45,40.8333,-6.0,81.0,21,47,5.35
96,Zvishavane,ZW,2022-07-10 21:17:37,-20.3267,30.0665,58.01,49,1,2.13
97,Marawi,PH,2022-07-10 21:17:37,7.9986,124.2928,69.75,87,97,5.17
98,Zatyshshya,UA,2022-07-10 21:17:38,47.3335,29.8733,64.62,56,64,11.3
99,Barrow,US,2022-07-10 21:17:38,71.2906,-156.7887,60.82,67,75,4.61
100,Bambous Virieux,MU,2022-07-10 21:17:38,-20.3428,57.7575,70.21,68,40,17.27
101,Olinda,BR,2022-07-10 21:17:23,-8.0089,-34.8553,78.53,73,40,13.8
102,Luderitz,NA,2022-07-10 21:13:22,-26.6481,15.1594,56.41,75,0,11.92
103,Whitehorse,CA,2022-07-10 21:12:44,60.7161,-135.0538,68.02,39,68,5.01
104,Okha,RU,2022-07-10 21:17:39,53.5739,142.9478,67.24,84,100,11.88
105,Cape Town,ZA,2022-07-10 21:15:36,-33.9258,18.4232,56.37,84,23,1.01
106,Huinan,CN,2022-07-10 21:17:40,42.6225,126.2614,61.86,87,28,2.82
107,Port Lincoln,AU,2022-07-10 21:17:40,-34.7333,135.8667,54.05,52,96,13.67
108,Port Hardy,CA,2022-07-10 21:15:20,50.6996,-127.4199,64.58,77,75,12.66
109,Nuuk,GL,2022-07-10 21:17:40,64.1835,-51.7216,45.21,76,40,8.99
110,Pevek,RU,2022-07-10 21:17:41,69.7008,170.3133,32.85,86,93,3.44
111,Dirba,IN,2022-07-10 21:17:41,30.0667,75.9833,83.41,76,39,2.37
112,Byron Bay,AU,2022-07-10 21:17:14,-28.65,153.6167,51.71,83,68,11.65
113,Carnarvon,AU,2022-07-10 21:17:42,-24.8667,113.6333,59.41,65,0,17.56
114,Derzhavinsk,KZ,2022-07-10 21:17:42,51.1,66.3167,65.35,77,62,10.29
115,Vestmannaeyjar,IS,2022-07-10 21:17:42,63.4427,-20.2734,51.42,95,100,10.31
116,Jinchang,CN,2022-07-10 21:17:43,38.4953,102.1739,64.9,75,99,4.27
117,Mankono,CI,2022-07-10 21:17:43,8.0586,-6.1897,71.98,86,92,4.27
118,Camapua,BR,2022-07-10 21:17:43,-19.5314,-54.0439,80.73,30,36,5.12
119,Maningrida,AU,2022-07-10 21:17:44,-12.0667,134.2667,56.52,92,66,10.31
120,Ayan,RU,2022-07-10 21:17:44,56.45,138.1667,56.88,97,100,11.65
121,Mitsamiouli,KM,2022-07-10 21:17:44,-11.3847,43.2844,75.42,70,2,6.76
122,Paamiut,GL,2022-07-10 21:17:45,61.994,-49.6678,39.69,91,24,20.51
123,Half Moon Bay,US,2022-07-10 21:15:19,37.4636,-122.4286,97.54,58,0,10.36
124,Saskylakh,RU,2022-07-10 21:17:45,71.9167,114.0833,46.69,81,100,11.68
125,Maltahohe,NA,2022-07-10 21:17:46,-24.8333,16.9833,46.08,50,0,11.21
126,Lagunas,PE,2022-07-10 21:17:46,-5.2269,-75.6753,82.0,72,80,3.15
127,Les Cayes,HT,2022-07-10 21:17:46,18.2,-73.75,84.9,65,100,9.62
128,Pahrump,US,2022-07-10 21:13:48,36.2083,-115.9839,106.25,11,3,10.0
129,Geraldton,AU,2022-07-10 21:17:47,-28.7667,114.6,46.81,87,23,3.44
130,Zitsa,GR,2022-07-10 21:17:47,39.6943,20.6372,69.76,60,43,2.3
131,Wasilla,US,2022-07-10 21:17:47,61.5814,-149.4394,70.07,62,75,6.91
132,Kavaratti,IN,2022-07-10 21:17:48,10.5669,72.642,81.27,80,100,20.87
133,Monroe,US,2022-07-10 21:17:03,43.1501,-77.6831,84.42,43,75,5.01
134,Stamford,US,2022-07-10 21:16:19,41.0534,-73.5387,85.23,46,20,5.75
135,Sojat,IN,2022-07-10 21:17:48,25.9167,73.6667,83.44,71,92,5.19
136,Ulladulla,AU,2022-07-10 21:17:49,-35.35,150.4667,48.87,87,56,6.53
137,Norman Wells,CA,2022-07-10 21:17:49,65.282,-126.8329,75.24,50,100,2.3
138,Faanui,PF,2022-07-10 21:17:49,-16.4833,-151.75,78.53,73,90,19.01
139,Sola,VU,2022-07-10 21:17:50,-13.8833,167.55,81.52,70,14,13.04
140,Hermanus,ZA,2022-07-10 21:17:50,-34.4187,19.2345,50.81,69,58,7.61
141,Kiili,EE,2022-07-10 21:17:51,59.3069,24.8378,55.29,94,20,2.3
142,Raipur,IN,2022-07-10 21:17:51,21.2333,81.6333,80.51,81,100,3.4
143,Avarua,CK,2022-07-10 21:17:51,-21.2078,-159.775,77.05,50,75,8.05
144,Pakxe,LA,2022-07-10 21:17:52,15.1167,105.7833,73.18,98,95,2.3
145,Cleethorpes,GB,2022-07-10 21:17:52,53.5605,-0.0323,64.65,88,20,8.05
146,Warah,PK,2022-07-10 21:17:52,27.4481,67.7978,91.83,57,96,3.85
147,Butaritari,KI,2022-07-10 21:17:53,3.0707,172.7902,82.63,77,16,16.96
148,Georgetown,MY,2022-07-10 21:17:53,5.4112,100.3354,82.89,86,20,4.61
149,Pervomayskiy,RU,2022-07-10 21:17:53,53.2485,40.2871,66.25,75,75,13.13
150,Kaeo,NZ,2022-07-10 21:17:54,-35.1,173.7833,59.32,97,100,7.85
151,Hazorasp,UZ,2022-07-10 21:17:54,41.3194,61.0742,71.44,31,0,13.49
152,Inta,RU,2022-07-10 21:17:54,66.0317,60.1659,56.57,67,51,6.04
153,Mar Del Plata,AR,2022-07-10 21:15:24,-38.0023,-57.5575,54.09,76,0,10.0
154,Moindou,NC,2022-07-10 21:17:55,-21.6924,165.677,76.8,81,19,6.58
155,Sarakhs,IR,2022-07-10 21:17:55,36.5449,61.1577,77.14,29,0,2.3
156,Miyazu,JP,2022-07-10 21:17:56,35.5333,135.1833,73.53,94,95,4.5
157,Gold Coast,AU,2022-07-10 21:17:56,-28.0,153.4333,55.47,89,40,9.22
158,Aripuana,BR,2022-07-10 21:17:56,-9.1667,-60.6333,87.82,47,53,2.91
159,Takaungu,KE,2022-07-10 21:17:57,-3.6837,39.8566,73.56,81,60,15.5
160,Richards Bay,ZA,2022-07-10 21:17:57,-28.783,32.0377,64.08,55,0,6.22
161,Bud,US,2022-07-10 21:17:58,39.447,-86.1758,87.78,41,0,6.38
162,Umm Lajj,SA,2022-07-10 21:17:58,25.0213,37.2685,85.12,60,85,3.67
163,Marsa Matruh,EG,2022-07-10 21:17:58,31.3525,27.2453,76.84,69,2,9.1
164,Torbay,CA,2022-07-10 21:16:25,47.6666,-52.7314,66.76,60,20,23.02
165,Tuktoyaktuk,CA,2022-07-10 21:17:59,69.4541,-133.0374,50.0,93,100,4.61
166,Chekmagush,RU,2022-07-10 21:17:59,55.1319,54.6556,63.77,82,60,3.56
167,Kaitangata,NZ,2022-07-10 21:18:00,-46.2817,169.8464,38.71,84,63,6.31
168,Esperance,AU,2022-07-10 21:18:00,-33.8667,121.9,54.59,77,83,8.81
169,Pangoa,PE,2022-07-10 21:18:01,-12.1167,-73.0,85.5,47,51,4.43
170,Mount Gambier,AU,2022-07-10 21:18:01,-37.8333,140.7667,47.43,62,100,11.16
171,Dikson,RU,2022-07-10 21:18:01,73.5069,80.5464,37.83,90,100,2.91
172,Ust-Koksa,RU,2022-07-10 21:18:02,50.2696,85.6108,50.59,92,17,0.81
173,Airai,TL,2022-07-10 21:18:02,-8.9266,125.4092,54.93,91,82,3.71
174,Grand Gaube,MU,2022-07-10 21:18:03,-20.0064,57.6608,70.38,66,95,7.0
175,Lagos,NG,2022-07-10 21:13:42,6.5833,3.75,74.77,90,96,5.32
176,Salvador,SV,2022-07-10 21:18:03,13.8333,-88.9167,81.0,54,100,1.32
177,Talnakh,RU,2022-07-10 21:18:03,69.4865,88.3972,47.21,61,26,6.8
178,Duluth,US,2022-07-10 21:13:53,46.7833,-92.1066,80.56,72,0,17.27
179,Avera,US,2022-07-10 21:18:04,33.194,-82.5271,87.31,62,93,6.62
180,Baglung,NP,2022-07-10 21:18:04,28.2719,83.5898,70.52,91,84,3.02
181,Tinguindin,MX,2022-07-10 21:18:05,19.75,-102.4833,74.37,66,54,4.81
182,Taybad,IR,2022-07-10 21:18:05,34.74,60.7756,77.59,17,0,11.12
183,Los Llanos De Aridane,ES,2022-07-10 21:18:05,28.6585,-17.9182,69.55,78,0,13.8
184,Bethel,US,2022-07-10 21:16:33,41.3712,-73.414,83.73,43,0,5.75
185,Linkuva,LT,2022-07-10 21:18:06,56.0856,23.9725,57.87,87,11,2.64
186,Celestun,MX,2022-07-10 21:18:06,20.8667,-90.4,85.19,66,81,12.59
187,Viseu,PT,2022-07-10 21:18:07,40.661,-7.9097,72.86,52,4,2.71
188,Salalah,OM,2022-07-10 21:18:07,17.0151,54.0924,75.29,100,100,6.91
189,Sovetskiy,RU,2022-07-10 21:18:08,61.3614,63.5842,66.9,54,71,6.33
